best_model,perturbation,type,level,accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,mean_confidence,ece,mean_entropy
ExtraTrees,clean,none,0.0,0.708936595107339,0.3946530017511464,0.7108570304418974,0.708936595107339,0.6973263103710372,0.5803736475972561,0.1289502314710889,1.1208384472276822
ExtraTrees,noise_sigma_0.03,gaussian_noise,0.03,0.7034448327508737,0.3703181403769332,0.7061910479693236,0.7034448327508737,0.6898528008944607,0.5494610479318639,0.15398378481900984,1.216660808051034
ExtraTrees,noise_sigma_0.06,gaussian_noise,0.06,0.6894658012980529,0.3376162184512695,0.6739637076915597,0.6894658012980529,0.6693857169632519,0.49387481653365667,0.19559098476439626,1.3703345441560408
ExtraTrees,noise_sigma_0.10,gaussian_noise,0.1,0.6814777833250125,0.30336678089309954,0.64627611544602,0.6814777833250125,0.6570165805252546,0.43180815438197345,0.24966962894303912,1.5225204904558272
ExtraTrees,brightness_plus_0.10,brightness,0.1,0.6455317024463305,0.2926298592981174,0.6730274441190651,0.6455317024463305,0.6179282490909166,0.5323990607563267,0.11328855292499211,1.316648527769091
ExtraTrees,brightness_minus_0.10,brightness,-0.1,0.6694957563654518,0.2483806747621167,0.6493782990997814,0.6694957563654518,0.641725812315567,0.572841449599255,0.102466004992315,1.0936655510989122
ExtraTrees,contrast_0.80,contrast,0.8,0.6255616575137294,0.34387185922067093,0.6983035487681367,0.6255616575137294,0.6395256640941287,0.46912656931688784,0.15663471757941771,1.3596815743183779
ExtraTrees,contrast_1.20,contrast,1.2,0.6979530703944083,0.329271022773348,0.6685377816190822,0.6979530703944083,0.6690044760175524,0.595477488452511,0.10247558194189728,1.1038546269621208
