pixel_feature_index,importance
1048,0.002581153406492835
1220,0.002540437588267455
967,0.0024807845675038865
1052,0.0024516429003388724
1136,0.0024469204132376043
964,0.002441451470045924
1133,0.0023071024621252254
1301,0.0022536270578151552
1132,0.0021283453866341043
1214,0.0020626519269432825
1216,0.0020580374984893782
1219,0.0019685041485351692
1213,0.0019577303872024593
961,0.001925358139943193
1130,0.0019176284371930081
1051,0.0019022535815038965
884,0.0018994834534038986
1217,0.0018662829419649274
1054,0.0018201493415834866
1297,0.0018180248488651244
1300,0.0016932224052068035
880,0.0016753462665517133
1043,0.0016349543275372056
962,0.0016068978277661598
965,0.0016027676921047855
1384,0.0015570369185778166
1391,0.0015367319464477363
1303,0.0015295174553864794
1385,0.0015093293144076041
1226,0.001477961502770348
1135,0.0014722970326401662
879,0.00146469006165325
1049,0.001447867071299325
1223,0.0014378187680043379
1307,0.001431914620354285
1055,0.001428904773750707
883,0.0014173351650843926
1387,0.0013881545771714
1123,0.0013821580805324736
1215,0.0013805290578760164
1388,0.0013632725020576637
874,0.0013533632903207735
1225,0.0013400156033124932
1053,0.0013349800591360545
1298,0.0013041441581063595
1208,0.0012944527635502284
1465,0.001287787910272515
1126,0.0012706085237529372
966,0.001270208725228228
1129,0.0012689728825943662
875,0.0012622779477128795
1306,0.0012583856016022109
794,0.0012429321491163666
889,0.001241343895827996
1045,0.001229772531965033
1127,0.001212681570170709
1218,0.0011620175684159612
1295,0.001157762426456357
971,0.001142949093644396
1460,0.001126778903619682
1382,0.0011182545522394898
1472,0.0011179290276078896
1046,0.0011131784516990259
1057,0.0011033707135746083
968,0.0010946125124580298
1313,0.0010929951098219094
1222,0.0010800686735066955
1468,0.0010782148790525947
1131,0.001071633145771261
1467,0.001071001173066286
1050,0.0010356055108246894
1134,0.0010320098152623433
1304,0.0010302688285045325
790,0.0010282981330681955
1139,0.0010254109684194458
877,0.0010224337843624377
955,0.0009941569382752636
1381,0.0009784742975348843
957,0.0009735437798266809
1138,0.0009658324780557776
1292,0.0009652636771085329
1394,0.0009645230002122685
1555,0.0009562356401381387
1475,0.000949137083939831
974,0.0009478927676895281
963,0.0009358807714631984
1469,0.000933491108827928
1058,0.0009289640623961422
72,0.0009236616279586167
878,0.0009223598200825501
873,0.0009183023810030416
54,0.0009169799040236773
1128,0.0009135620383042662
1299,0.0009107817648416072
66,0.0009107264156975015
1309,0.0009101393446182717
57,0.0009097997904591112
882,0.0009083161889523461
1471,0.0009081240543114654
1316,0.0008955308066606284
792,0.0008949427008353202
1294,0.0008924015882467208
1137,0.0008922174006034472
1393,0.0008821349064630097
1229,0.0008770341370742148
78,0.0008760307285313084
1212,0.0008710854091794368
1207,0.000870863895994079
1211,0.0008699744975470759
1462,0.0008678605194211964
1466,0.0008671968153843098
969,0.0008664576535626635
1151,0.0008601898049324466
1383,0.0008551097309590471
1386,0.0008545232360648412
1047,0.0008541077774138221
958,0.0008471357909147762
1038,0.0008414940056037823
1125,0.0008350305589612636
977,0.0008343744835579523
1121,0.0008295164924769428
959,0.0008288926375802805
1378,0.0008240551480305449
876,0.0008228789427743961
886,0.0008223567927960373
1547,0.0008187212224997609
1210,0.0008136505146408937
1141,0.0008012841806199855
1042,0.0007992365799037534
1376,0.0007965029993790683
973,0.0007951741203929054
1319,0.000787478661437942
785,0.0007748244804232694
799,0.0007691458868220659
791,0.0007650218164536161
1040,0.000762614293140185
6,0.0007495305699568381
1397,0.0007429163048749469
798,0.0007363328543605374
1124,0.000733251077198791
1375,0.0007278357658766797
1379,0.0007251349334406112
1543,0.0007250352565357089
2181,0.0007217178337210712
1142,0.0007214833376723205
1552,0.0007189861176494275
1481,0.000718911351233979
