model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_weighted_mean,f1_weighted_std,fit_time_mean_sec,total_time_sec
ExtraTrees,0.7054418372441338,0.008886109020983338,0.3739260621098571,0.008006565389397905,0.6920530362136244,0.006434992584406764,17.593618822097778,49.82858729362488
SoftVoting_RF_ET,0.7118322516225661,0.007762672681208897,0.34848718430784514,0.005699175456731388,0.6854037242367046,0.005956220898033642,62.574156761169434,175.45125818252563
RandomForest,0.7128307538691961,0.009331589809250966,0.3335981247724715,0.008831727494150576,0.6800176753420246,0.008333294978548272,50.77096438407898,145.80490016937256
