model,accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,roc_auc_ovr_weighted,log_loss,ece,train_time_sec
ExtraTrees,0.708936595107339,0.3946530017511464,0.7108570304418974,0.708936595107339,0.6973263103710372,0.8687563532041944,0.8546926998356693,0.1289502314710889,7.550425052642822
SoftVoting_RF_ET,0.7169246130803795,0.3733610810873152,0.7146901134859351,0.7169246130803795,0.6956261169532583,0.872339688196564,0.8286099677763427,0.12269007865542302,40.78701710700989
RandomForest,0.7124313529705442,0.3562590271874443,0.6968448491689567,0.7124313529705442,0.6850162658475509,0.8700985186322496,0.8144637631167406,0.09913188927750365,25.339441776275635
LogisticRegression,0.5711432850723914,0.47452523486553044,0.6882074665632504,0.5711432850723914,0.6103079555134497,0.8111687078099522,1.299281883468,0.14680371130340053,523.4579334259033
